i	E(i)	g[i]	hist[i]
0	-192.000000	0.000000	0
1	-190.000000	13.062500	0
2	-188.000000	12.375000	0
3	-186.000000	11.625000	0
4	-184.000000	9.937500	0
5	-182.000000	6.562500	0
6	-180.000000	5.750000	0
7	-178.000000	1.812500	0
8	-176.000000	2.125000	0
9	-174.000000	0.000000	0
10	-172.000000	0.437500	0
11	-170.000000	1.625000	0
12	-168.000000	1.875000	0
13	-166.000000	3.187500	0
14	-164.000000	1.562500	0
15	-162.000000	1.625000	0
16	-160.000000	0.875000	0
17	-158.000000	1.750000	0
18	-156.000000	2.500000	0
19	-154.000000	1.812500	0
20	-152.000000	2.875000	0
21	-150.000000	3.125000	0
22	-148.000000	3.187500	0
23	-146.000000	3.000000	0
24	-144.000000	2.500000	0
25	-142.000000	2.375000	0
26	-140.000000	2.687500	0
27	-138.000000	2.250000	0
28	-136.000000	2.875000	0
29	-134.000000	3.312500	0
30	-132.000000	3.625000	0
31	-130.000000	4.000000	0
32	-128.000000	3.187500	0
33	-126.000000	3.687500	0
34	-124.000000	4.125000	0
35	-122.000000	3.750000	0
36	-120.000000	3.937500	0
37	-118.000000	4.375000	0
38	-116.000000	4.562500	0
39	-114.000000	5.687500	0
40	-112.000000	4.875000	0
41	-110.000000	4.687500	0
42	-108.000000	4.875000	0
43	-106.000000	5.250000	0
44	-104.000000	5.750000	0
45	-102.000000	5.562500	0
46	-100.000000	6.062500	0
47	-98.000000	6.125000	0
48	-96.000000	5.750000	0
49	-94.000000	6.500000	0
50	-92.000000	6.750000	0
51	-90.000000	6.875000	0
52	-88.000000	6.812500	0
53	-86.000000	7.437500	0
54	-84.000000	7.312500	0
55	-82.000000	7.937500	0
56	-80.000000	8.437500	0
57	-78.000000	8.062500	0
58	-76.000000	7.312500	0
59	-74.000000	8.062500	0
60	-72.000000	8.750000	0
61	-70.000000	8.812500	0
62	-68.000000	8.687500	0
63	-66.000000	8.937500	0
64	-64.000000	9.062500	0
