0.000000	-nan	-nan
0.010000	0.000000	-0.000000
0.020000	0.000000	-0.000000
0.030000	0.000000	-0.000000
0.040000	0.000000	-0.000000
0.050000	0.000000	-0.000000
0.060000	0.000000	-0.000016
0.070000	0.000001	-0.001601
0.080000	0.000034	-0.049828
0.090000	0.000546	-0.712079
0.100000	0.005031	-5.894290
0.110000	0.030837	-32.384088
0.120000	0.137414	-124.469606
0.130000	0.463286	-313.040041
0.140000	1.179491	-353.875232
0.150000	2.244648	391.566280
0.160000	3.304599	1941.520763
0.170000	4.074583	3434.203476
0.180000	4.542134	4370.660125
0.190000	4.806873	4810.594297
0.200000	4.955583	4947.233573
0.210000	5.040820	4923.583816
0.220000	5.091188	4821.273283
0.230000	5.121930	4683.215904
0.240000	5.141261	4531.400103
0.250000	5.153724	4376.977990
0.260000	5.161904	4225.516302
0.270000	5.167315	4079.679710
0.280000	5.170867	3940.611093
0.290000	5.173123	3808.652677
0.300000	5.174439	3683.729404
0.310000	5.175043	3565.555868
0.320000	5.175083	3453.749190
0.330000	5.174660	3347.890765
0.340000	5.173840	3247.559731
0.350000	5.172668	3152.350611
0.360000	5.171176	3061.882014
0.370000	5.169386	2975.800273
0.380000	5.167313	2893.780258
0.390000	5.164968	2815.524632
0.400000	5.162361	2740.762303
0.410000	5.159497	2669.246507
0.420000	5.156382	2600.752765
0.430000	5.153022	2535.076859
0.440000	5.149420	2472.032902
0.450000	5.145580	2411.451550
0.460000	5.141508	2353.178349
0.470000	5.137207	2297.072248
0.480000	5.132682	2243.004245
0.490000	5.127938	2190.856177
0.500000	5.122978	2140.519639
0.510000	5.117809	2091.895010
0.520000	5.112435	2044.890588
0.530000	5.106861	1999.421814
0.540000	5.101093	1955.410584
0.550000	5.095137	1912.784634
0.560000	5.088998	1871.476981
0.570000	5.082682	1831.425441
0.580000	5.076194	1792.572181
0.590000	5.069541	1754.863325
0.600000	5.062727	1718.248607
0.610000	5.055760	1682.681045
0.620000	5.048645	1648.116665
0.630000	5.041387	1614.514237
0.640000	5.033993	1581.835052
0.650000	5.026467	1550.042711
0.660000	5.018817	1519.102937
0.670000	5.011046	1488.983408
0.680000	5.003162	1459.653604
0.690000	4.995168	1431.084668
0.700000	4.987071	1403.249281
0.710000	4.978875	1376.121550
0.720000	4.970586	1349.676899
0.730000	4.962209	1323.891982
0.740000	4.953748	1298.744594
0.750000	4.945208	1274.213591
0.760000	4.936594	1250.278822
0.770000	4.927911	1226.921062
0.780000	4.919162	1204.121952
0.790000	4.910353	1181.863944
0.800000	4.901486	1160.130253
0.810000	4.892566	1138.904808
0.820000	4.883598	1118.172208
0.830000	4.874585	1097.917688
0.840000	4.865530	1078.127078
0.850000	4.856437	1058.786771
0.860000	4.847309	1039.883693
0.870000	4.838151	1021.405272
0.880000	4.828964	1003.339412
0.890000	4.819753	985.674471
0.900000	4.810520	968.399233
0.910000	4.801268	951.502891
0.920000	4.792000	934.975023
0.930000	4.782718	918.805577
0.940000	4.773426	902.984852
0.950000	4.764125	887.503479
0.960000	4.754818	872.352410
0.970000	4.745508	857.522902
0.980000	4.736196	843.006501
0.990000	4.726885	828.795034
1.000000	4.717576	814.880591
1.010000	4.708273	801.255520
1.020000	4.698976	787.912411
1.030000	4.689688	774.844092
1.040000	4.680410	762.043611
1.050000	4.671144	749.504235
1.060000	4.661891	737.219438
1.070000	4.652653	725.182892
1.080000	4.643432	713.388461
1.090000	4.634229	701.830194
1.100000	4.625045	690.502318
1.110000	4.615882	679.399227
1.120000	4.606741	668.515484
1.130000	4.597622	657.845809
1.140000	4.588528	647.385073
1.150000	4.579458	637.128297
1.160000	4.570415	627.070643
1.170000	4.561400	617.207410
1.180000	4.552412	607.534031
1.190000	4.543453	598.046066
1.200000	4.534524	588.739198
1.210000	4.525625	579.609231
1.220000	4.516758	570.652083
1.230000	4.507923	561.863787
1.240000	4.499120	553.240479
1.250000	4.490351	544.778405
1.260000	4.481616	536.473908
1.270000	4.472915	528.323432
1.280000	4.464249	520.323514
1.290000	4.455619	512.470784
1.300000	4.447025	504.761959
1.310000	4.438467	497.193846
1.320000	4.429946	489.763333
1.330000	4.421462	482.467388
1.340000	4.413016	475.303061
1.350000	4.404608	468.267475
1.360000	4.396238	461.357829
1.370000	4.387906	454.571393
1.380000	4.379613	447.905506
1.390000	4.371360	441.357575
1.400000	4.363145	434.925072
1.410000	4.354970	428.605534
1.420000	4.346835	422.396558
1.430000	4.338740	416.295801
1.440000	4.330684	410.300981
1.450000	4.322669	404.409869
1.460000	4.314693	398.620292
1.470000	4.306758	392.930132
1.480000	4.298864	387.337320
1.490000	4.291009	381.839841
1.500000	4.283196	376.435725
1.510000	4.275422	371.123053
1.520000	4.267690	365.899951
1.530000	4.259998	360.764588
1.540000	4.252346	355.715180
1.550000	4.244735	350.749984
1.560000	4.237165	345.867299
1.570000	4.229635	341.065463
1.580000	4.222146	336.342855
1.590000	4.214697	331.697890
1.600000	4.207288	327.129022
1.610000	4.199920	322.634741
1.620000	4.192592	318.213570
1.630000	4.185305	313.864068
1.640000	4.178057	309.584828
1.650000	4.170849	305.374473
1.660000	4.163682	301.231660
1.670000	4.156554	297.155075
1.680000	4.149465	293.143435
1.690000	4.142417	289.195486
1.700000	4.135407	285.310001
1.710000	4.128437	281.485783
1.720000	4.121507	277.721660
1.730000	4.114615	274.016487
1.740000	4.107762	270.369144
1.750000	4.100948	266.778538
1.760000	4.094172	263.243598
1.770000	4.087435	259.763277
1.780000	4.080736	256.336552
1.790000	4.074075	252.962422
1.800000	4.067452	249.639907
1.810000	4.060867	246.368051
1.820000	4.054319	243.145916
1.830000	4.047809	239.972585
1.840000	4.041336	236.847163
1.850000	4.034900	233.768772
1.860000	4.028501	230.736552
1.870000	4.022139	227.749665
1.880000	4.015813	224.807288
1.890000	4.009524	221.908616
1.900000	4.003270	219.052862
1.910000	3.997053	216.239255
1.920000	3.990871	213.467040
1.930000	3.984725	210.735479
1.940000	3.978614	208.043848
1.950000	3.972538	205.391439
1.960000	3.966497	202.777559
1.970000	3.960491	200.201529
1.980000	3.954520	197.662684
1.990000	3.948583	195.160372
2.000000	3.942680	192.693956
2.010000	3.936811	190.262812
2.020000	3.930975	187.866327
2.030000	3.925174	185.503901
2.040000	3.919405	183.174949
2.050000	3.913670	180.878893
2.060000	3.907967	178.615172
2.070000	3.902298	176.383232
2.080000	3.896661	174.182532
2.090000	3.891056	172.012542
