T	Ut	Ft	St	Ct
0.000000	-nan	-nan	-nan	-nan
0.010000	-3.000000	-3.000000	0.000000	0.000000
0.020000	-3.000000	-3.000000	0.000000	0.000000
0.030000	-3.000000	-3.000000	0.000000	0.000000
0.040000	-3.000000	-3.000000	-0.000000	-0.000000
0.050000	-3.000000	-3.000000	0.000000	0.000000
0.060000	-3.000000	-3.000000	0.000000	0.000000
0.070000	-3.000000	-3.000000	0.000000	0.000002
0.080000	-3.000000	-3.000000	0.000003	0.000064
0.090000	-2.999997	-3.000000	0.000038	0.000811
0.100000	-2.999970	-3.000002	0.000318	0.006055
0.110000	-2.999814	-3.000010	0.001782	0.030523
0.120000	-2.999172	-3.000050	0.007318	0.111926
0.130000	-2.997209	-3.000190	0.022930	0.300784
0.140000	-2.992895	-3.000564	0.054783	0.560184
0.150000	-2.986478	-3.001329	0.099004	0.681866
0.160000	-2.980093	-3.002534	0.140255	0.564513
0.170000	-2.975454	-3.004089	0.168439	0.364435
0.180000	-2.972637	-3.005862	0.184581	0.210135
0.190000	-2.971042	-3.007756	0.193229	0.117715
0.200000	-2.970146	-3.009713	0.197838	0.066730
0.210000	-2.969631	-3.011705	0.200354	0.038933
0.220000	-2.969326	-3.013717	0.201775	0.023514
0.230000	-2.969139	-3.015739	0.202609	0.014720
0.240000	-2.969020	-3.017768	0.203116	0.009549
0.250000	-2.968941	-3.019801	0.203438	0.006419
0.260000	-2.968888	-3.021836	0.203649	0.004475
0.270000	-2.968849	-3.023873	0.203793	0.003241
0.280000	-2.968821	-3.025912	0.203895	0.002447
0.290000	-2.968800	-3.027951	0.203971	0.001932
0.300000	-2.968782	-3.029991	0.204031	0.001600
0.310000	-2.968767	-3.032032	0.204080	0.001390
0.320000	-2.968754	-3.034073	0.204121	0.001263
0.330000	-2.968742	-3.036114	0.204159	0.001196
0.340000	-2.968730	-3.038156	0.204194	0.001171
0.350000	-2.968718	-3.040198	0.204228	0.001177
0.360000	-2.968706	-3.042241	0.204262	0.001205
0.370000	-2.968694	-3.044283	0.204296	0.001251
0.380000	-2.968681	-3.046327	0.204330	0.001310
0.390000	-2.968668	-3.048370	0.204365	0.001378
0.400000	-2.968654	-3.050414	0.204400	0.001454
0.410000	-2.968639	-3.052458	0.204437	0.001536
0.420000	-2.968623	-3.054503	0.204475	0.001623
0.430000	-2.968606	-3.056547	0.204515	0.001712
0.440000	-2.968589	-3.058593	0.204555	0.001804
0.450000	-2.968570	-3.060639	0.204597	0.001897
0.460000	-2.968551	-3.062685	0.204639	0.001991
0.470000	-2.968530	-3.064731	0.204683	0.002086
0.480000	-2.968509	-3.066778	0.204728	0.002181
0.490000	-2.968487	-3.068826	0.204774	0.002275
0.500000	-2.968464	-3.070874	0.204821	0.002368
0.510000	-2.968439	-3.072922	0.204869	0.002461
0.520000	-2.968414	-3.074971	0.204917	0.002552
0.530000	-2.968388	-3.077021	0.204967	0.002642
0.540000	-2.968361	-3.079071	0.205017	0.002730
0.550000	-2.968334	-3.081121	0.205068	0.002817
0.560000	-2.968305	-3.083172	0.205119	0.002901
0.570000	-2.968276	-3.085223	0.205171	0.002984
0.580000	-2.968245	-3.087275	0.205224	0.003065
0.590000	-2.968214	-3.089328	0.205277	0.003144
0.600000	-2.968183	-3.091381	0.205331	0.003220
0.610000	-2.968150	-3.093435	0.205384	0.003295
0.620000	-2.968117	-3.095489	0.205439	0.003367
0.630000	-2.968083	-3.097543	0.205493	0.003437
0.640000	-2.968048	-3.099599	0.205548	0.003505
0.650000	-2.968013	-3.101654	0.205603	0.003571
0.660000	-2.967977	-3.103711	0.205658	0.003635
0.670000	-2.967940	-3.105767	0.205713	0.003696
0.680000	-2.967903	-3.107825	0.205768	0.003756
0.690000	-2.967865	-3.109883	0.205823	0.003813
0.700000	-2.967826	-3.111941	0.205878	0.003868
0.710000	-2.967787	-3.114000	0.205934	0.003921
0.720000	-2.967748	-3.116060	0.205989	0.003972
0.730000	-2.967708	-3.118120	0.206044	0.004021
0.740000	-2.967668	-3.120181	0.206099	0.004068
0.750000	-2.967627	-3.122242	0.206154	0.004113
0.760000	-2.967585	-3.124304	0.206209	0.004156
0.770000	-2.967544	-3.126366	0.206263	0.004197
0.780000	-2.967501	-3.128429	0.206318	0.004236
0.790000	-2.967459	-3.130493	0.206372	0.004274
0.800000	-2.967416	-3.132557	0.206426	0.004309
0.810000	-2.967373	-3.134621	0.206480	0.004343
0.820000	-2.967329	-3.136686	0.206533	0.004376
0.830000	-2.967285	-3.138752	0.206586	0.004406
0.840000	-2.967241	-3.140818	0.206639	0.004436
0.850000	-2.967196	-3.142885	0.206692	0.004463
0.860000	-2.967152	-3.144952	0.206744	0.004489
0.870000	-2.967107	-3.147019	0.206796	0.004514
0.880000	-2.967061	-3.149088	0.206848	0.004537
0.890000	-2.967016	-3.151156	0.206899	0.004558
0.900000	-2.966970	-3.153226	0.206950	0.004579
0.910000	-2.966924	-3.155295	0.207001	0.004598
0.920000	-2.966878	-3.157366	0.207052	0.004616
0.930000	-2.966832	-3.159436	0.207102	0.004632
0.940000	-2.966786	-3.161508	0.207151	0.004647
0.950000	-2.966739	-3.163580	0.207200	0.004661
0.960000	-2.966692	-3.165652	0.207249	0.004674
0.970000	-2.966646	-3.167724	0.207298	0.004686
0.980000	-2.966599	-3.169798	0.207346	0.004697
0.990000	-2.966552	-3.171871	0.207394	0.004707
1.000000	-2.966505	-3.173946	0.207441	0.004715
1.010000	-2.966457	-3.176020	0.207488	0.004723
1.020000	-2.966410	-3.178095	0.207535	0.004730
1.030000	-2.966363	-3.180171	0.207581	0.004736
1.040000	-2.966315	-3.182247	0.207626	0.004741
1.050000	-2.966268	-3.184323	0.207672	0.004745
1.060000	-2.966221	-3.186400	0.207717	0.004748
1.070000	-2.966173	-3.188478	0.207761	0.004751
1.080000	-2.966125	-3.190556	0.207806	0.004752
1.090000	-2.966078	-3.192634	0.207849	0.004753
1.100000	-2.966030	-3.194713	0.207893	0.004754
1.110000	-2.965983	-3.196792	0.207936	0.004753
1.120000	-2.965935	-3.198871	0.207979	0.004752
1.130000	-2.965888	-3.200951	0.208021	0.004750
1.140000	-2.965840	-3.203032	0.208063	0.004748
1.150000	-2.965793	-3.205113	0.208104	0.004745
1.160000	-2.965745	-3.207194	0.208145	0.004741
1.170000	-2.965698	-3.209275	0.208186	0.004737
1.180000	-2.965651	-3.211358	0.208226	0.004732
1.190000	-2.965603	-3.213440	0.208266	0.004726
1.200000	-2.965556	-3.215523	0.208306	0.004721
1.210000	-2.965509	-3.217606	0.208345	0.004714
1.220000	-2.965462	-3.219690	0.208383	0.004707
1.230000	-2.965415	-3.221774	0.208422	0.004700
1.240000	-2.965368	-3.223858	0.208460	0.004692
1.250000	-2.965321	-3.225943	0.208498	0.004684
1.260000	-2.965274	-3.228028	0.208535	0.004676
1.270000	-2.965228	-3.230114	0.208572	0.004667
1.280000	-2.965181	-3.232200	0.208608	0.004658
1.290000	-2.965134	-3.234286	0.208645	0.004648
1.300000	-2.965088	-3.236372	0.208680	0.004638
1.310000	-2.965042	-3.238459	0.208716	0.004627
1.320000	-2.964995	-3.240547	0.208751	0.004617
1.330000	-2.964949	-3.242634	0.208786	0.004606
1.340000	-2.964903	-3.244722	0.208820	0.004594
1.350000	-2.964857	-3.246811	0.208854	0.004583
1.360000	-2.964812	-3.248900	0.208888	0.004571
1.370000	-2.964766	-3.250989	0.208922	0.004559
1.380000	-2.964720	-3.253078	0.208955	0.004547
1.390000	-2.964675	-3.255168	0.208988	0.004534
1.400000	-2.964630	-3.257258	0.209020	0.004521
1.410000	-2.964585	-3.259348	0.209052	0.004508
1.420000	-2.964540	-3.261439	0.209084	0.004495
1.430000	-2.964495	-3.263530	0.209115	0.004481
1.440000	-2.964450	-3.265621	0.209147	0.004468
1.450000	-2.964405	-3.267713	0.209177	0.004454
1.460000	-2.964361	-3.269805	0.209208	0.004440
1.470000	-2.964317	-3.271897	0.209238	0.004426
1.480000	-2.964272	-3.273989	0.209268	0.004411
1.490000	-2.964228	-3.276082	0.209298	0.004397
1.500000	-2.964184	-3.278175	0.209327	0.004382
1.510000	-2.964141	-3.280269	0.209356	0.004368
1.520000	-2.964097	-3.282362	0.209385	0.004353
1.530000	-2.964054	-3.284456	0.209414	0.004338
1.540000	-2.964010	-3.286551	0.209442	0.004323
1.550000	-2.963967	-3.288645	0.209470	0.004307
1.560000	-2.963924	-3.290740	0.209497	0.004292
1.570000	-2.963881	-3.292835	0.209525	0.004277
1.580000	-2.963839	-3.294931	0.209552	0.004261
1.590000	-2.963796	-3.297026	0.209579	0.004246
1.600000	-2.963754	-3.299122	0.209605	0.004230
1.610000	-2.963712	-3.301218	0.209632	0.004214
1.620000	-2.963669	-3.303315	0.209658	0.004199
1.630000	-2.963628	-3.305412	0.209683	0.004183
1.640000	-2.963586	-3.307509	0.209709	0.004167
1.650000	-2.963544	-3.309606	0.209734	0.004151
1.660000	-2.963503	-3.311703	0.209759	0.004135
1.670000	-2.963462	-3.313801	0.209784	0.004119
1.680000	-2.963420	-3.315899	0.209809	0.004103
1.690000	-2.963379	-3.317997	0.209833	0.004087
1.700000	-2.963339	-3.320096	0.209857	0.004071
1.710000	-2.963298	-3.322194	0.209881	0.004055
1.720000	-2.963258	-3.324293	0.209904	0.004038
1.730000	-2.963217	-3.326392	0.209928	0.004022
1.740000	-2.963177	-3.328492	0.209951	0.004006
1.750000	-2.963137	-3.330591	0.209974	0.003990
1.760000	-2.963097	-3.332691	0.209996	0.003974
1.770000	-2.963058	-3.334791	0.210019	0.003957
1.780000	-2.963018	-3.336892	0.210041	0.003941
1.790000	-2.962979	-3.338992	0.210063	0.003925
1.800000	-2.962940	-3.341093	0.210085	0.003909
1.810000	-2.962901	-3.343194	0.210107	0.003893
1.820000	-2.962862	-3.345295	0.210128	0.003876
1.830000	-2.962823	-3.347396	0.210149	0.003860
1.840000	-2.962785	-3.349498	0.210170	0.003844
1.850000	-2.962746	-3.351600	0.210191	0.003828
1.860000	-2.962708	-3.353702	0.210212	0.003812
1.870000	-2.962670	-3.355804	0.210232	0.003796
1.880000	-2.962632	-3.357906	0.210252	0.003780
1.890000	-2.962594	-3.360009	0.210272	0.003764
1.900000	-2.962557	-3.362112	0.210292	0.003747
1.910000	-2.962520	-3.364215	0.210312	0.003731
1.920000	-2.962482	-3.366318	0.210331	0.003715
1.930000	-2.962445	-3.368421	0.210350	0.003700
