i	E(i)	g[i]	hist[i]
0	-128.000000	0.000000	107516730
1	-126.000000	-10236723.806249	1
2	-124.000000	-10236721.806249	3
3	-122.000000	-10236723.806249	1
4	-120.000000	-10236723.806249	1
5	-118.000000	-10236720.806249	4
6	-116.000000	-10236722.806249	2
7	-114.000000	-10236723.806249	1
8	-112.000000	-10236722.806249	2
9	-110.000000	-10236723.806249	1
10	-108.000000	-10236718.806250	6
11	-106.000000	-10236720.806249	4
12	-104.000000	-10236722.806249	2
13	-102.000000	-10236723.806249	1
14	-100.000000	-10236721.806249	3
15	-98.000000	-10236721.806249	3
16	-96.000000	-10236723.806249	1
17	-94.000000	-10236723.806249	1
18	-92.000000	-10236722.806249	2
19	-90.000000	-10236723.806249	1
20	-88.000000	-10236722.806249	2
21	-86.000000	-10236722.806249	2
22	-84.000000	-10236722.806249	2
23	-82.000000	-10236722.806249	2
24	-80.000000	-10236722.806249	2
25	-78.000000	-10236720.806249	4
26	-76.000000	-10236722.806249	2
27	-74.000000	-10236723.806249	1
28	-72.000000	-10236721.806249	3
29	-70.000000	-10236721.806249	3
30	-68.000000	-10236722.806249	2
31	-66.000000	-10236722.806249	2
32	-64.000000	-10236723.806249	1
33	-62.000000	-10236722.806249	2
34	-60.000000	-10236721.806249	3
35	-58.000000	-10236723.806249	1
36	-56.000000	-10236721.806249	3
37	-54.000000	-10236723.806249	1
38	-52.000000	-10236723.806249	1
39	-50.000000	-10236723.806249	1
40	-48.000000	-10236722.806249	2
41	-46.000000	-10236723.806249	1
42	-44.000000	-10236722.806249	2
43	-42.000000	-10236722.806249	2
44	-40.000000	-10236723.806249	1
45	-38.000000	-10236723.806249	1
46	-36.000000	-10236722.806249	2
47	-34.000000	-10236721.806249	3
48	-32.000000	-10236720.806249	4
49	-30.000000	-10236723.806249	1
50	-28.000000	-10236723.806249	1
51	-26.000000	-10236719.806250	5
52	-24.000000	-10236723.806249	1
53	-22.000000	-10236723.806249	1
54	-20.000000	-10236721.806249	3
55	-18.000000	-10236717.806250	7
56	-16.000000	-10236722.806249	2
57	-14.000000	-10236723.806249	1
58	-12.000000	-10236723.806249	1
59	-10.000000	-10236721.806249	3
60	-8.000000	-10236722.806249	2
61	-6.000000	-10236723.806249	1
62	-4.000000	-10236720.806249	4
63	-2.000000	-10236719.806250	5
64	0.000000	-10236723.806249	1
65	2.000000	-10236723.806249	1
66	4.000000	-10236722.806249	2
67	6.000000	-10236722.806249	2
68	8.000000	-10236720.806249	4
69	10.000000	-10236718.806250	6
70	12.000000	-10236723.806249	1
71	14.000000	-10236722.806249	2
72	16.000000	-10236719.806250	5
73	18.000000	-10236721.806249	3
74	20.000000	-10236723.806249	1
75	22.000000	-10236722.806249	2
76	24.000000	-10236718.806250	6
77	26.000000	-10236723.806249	1
78	28.000000	-10236723.806249	1
79	30.000000	-10236723.806249	1
80	32.000000	-10236722.806249	2
81	34.000000	-10236720.806249	4
82	36.000000	-10236720.806249	4
83	38.000000	-10236723.806249	1
84	40.000000	-10236722.806249	2
85	42.000000	-10236722.806249	2
86	44.000000	-10236721.806249	3
87	46.000000	-10236721.806249	3
88	48.000000	-10236722.806249	2
89	50.000000	-10236721.806249	3
90	52.000000	-10236722.806249	2
91	54.000000	-10236723.806249	1
92	56.000000	-10236723.806249	1
93	58.000000	-10236722.806249	2
94	60.000000	-10236722.806249	2
95	62.000000	-10236723.806249	1
96	64.000000	-10236723.806249	1
97	66.000000	-10236722.806249	2
98	68.000000	-10236722.806249	2
99	70.000000	-10236722.806249	2
100	72.000000	-10236723.806249	1
101	74.000000	-10236722.806249	2
102	76.000000	-10236719.806250	5
103	78.000000	-10236723.806249	1
104	80.000000	-10236723.806249	1
105	82.000000	-10236722.806249	2
106	84.000000	-10236722.806249	2
107	86.000000	-10236723.806249	1
108	88.000000	-10236720.806249	4
109	90.000000	-10236723.806249	1
110	92.000000	-10236723.806249	1
111	94.000000	-10236721.806249	3
112	96.000000	-10236721.806249	3
113	98.000000	-10236723.806249	1
114	100.000000	-10236722.806249	2
115	102.000000	-10236721.806249	3
116	104.000000	-10236723.806249	1
117	106.000000	-10236718.806250	6
118	108.000000	-10236722.806249	2
119	110.000000	-10236723.806249	1
120	112.000000	-10236722.806249	2
121	114.000000	-10236722.806249	2
122	116.000000	-10236722.806249	2
123	118.000000	-10236721.806249	3
124	120.000000	-10236723.806249	1
125	122.000000	-10236722.806249	2
126	124.000000	-10236722.806249	2
128	128.000000	-10236722.806249	2
129	130.000000	-10236723.806249	1
130	132.000000	-10236723.806249	1
131	134.000000	-10236723.806249	1
132	136.000000	-10236721.806249	3
133	138.000000	-10236723.806249	1
134	140.000000	-10236723.806249	1
135	142.000000	-10236723.806249	1
136	144.000000	-10236722.806249	2
137	146.000000	-10236721.806249	3
138	148.000000	-10236721.806249	3
139	150.000000	-10236722.806249	2
140	152.000000	-10236722.806249	2
141	154.000000	-10236722.806249	2
142	156.000000	-10236722.806249	2
143	158.000000	-10236722.806249	2
144	160.000000	-10236721.806249	3
145	162.000000	-10236723.806249	1
146	164.000000	-10236723.806249	1
147	166.000000	-10236719.806250	5
148	168.000000	-10236722.806249	2
149	170.000000	-10236722.806249	2
150	172.000000	-10236723.806249	1
151	174.000000	-10236722.806249	2
152	176.000000	-10236722.806249	2
153	178.000000	-10236722.806249	2
154	180.000000	-10236720.806249	4
155	182.000000	-10236723.806249	1
156	184.000000	-10236723.806249	1
157	186.000000	-10236722.806249	2
158	188.000000	-10236723.806249	1
159	190.000000	-10236722.806249	2
160	192.000000	-10236723.806249	1
161	194.000000	-10236716.806250	8
162	196.000000	-10236721.806249	3
163	198.000000	-10236722.806249	2
164	200.000000	-10236722.806249	2
165	202.000000	-10236721.806249	3
166	204.000000	-10236723.806249	1
167	206.000000	-10236723.806249	1
168	208.000000	-10236722.806249	2
169	210.000000	-10236721.806249	3
170	212.000000	-10236723.806249	1
171	214.000000	-10236723.806249	1
172	216.000000	-10236721.806249	3
173	218.000000	-10236721.806249	3
174	220.000000	-10236723.806249	1
175	222.000000	-10236722.806249	2
176	224.000000	-10236722.806249	2
177	226.000000	-10236719.806250	5
178	228.000000	-10236719.806250	5
179	230.000000	-10236723.806249	1
180	232.000000	-10236722.806249	2
181	234.000000	-10236717.806250	7
182	236.000000	-10236723.806249	1
183	238.000000	-10236722.806249	2
184	240.000000	-10236723.806249	1
185	242.000000	-10236722.806249	2
186	244.000000	-10236722.806249	2
187	246.000000	-10236721.806249	3
188	248.000000	-10236723.806249	1
189	250.000000	-10236723.806249	1
190	252.000000	-10236721.806249	3
191	254.000000	-10236723.806249	1
192	256.000000	-10236722.806249	2
193	258.000000	-10236723.806249	1
194	260.000000	-10236721.806249	3
195	262.000000	-10236722.806249	2
196	264.000000	-10236723.806249	1
197	266.000000	-10236723.806249	1
198	268.000000	-10236722.806249	2
199	270.000000	-10236721.806249	3
200	272.000000	-10236723.806249	1
201	274.000000	-10236722.806249	2
202	276.000000	-10236722.806249	2
203	278.000000	-10236723.806249	1
204	280.000000	-10236722.806249	2
205	282.000000	-10236722.806249	2
206	284.000000	-10236723.806249	1
207	286.000000	-10236722.806249	2
208	288.000000	-10236723.806249	1
209	290.000000	-10236722.806249	2
210	292.000000	-10236720.806249	4
211	294.000000	-10236723.806249	1
212	296.000000	-10236721.806249	3
213	298.000000	-10236721.806249	3
214	300.000000	-10236722.806249	2
215	302.000000	-10236722.806249	2
216	304.000000	-10236722.806249	2
217	306.000000	-10236723.806249	1
218	308.000000	-10236723.806249	1
219	310.000000	-10236723.806249	1
220	312.000000	-10236722.806249	2
221	314.000000	-10236721.806249	3
222	316.000000	-10236721.806249	3
223	318.000000	-10236721.806249	3
224	320.000000	-10236722.806249	2
225	322.000000	-10236722.806249	2
226	324.000000	-10236716.806250	8
227	326.000000	-10236716.806250	8
228	328.000000	-10236721.806249	3
229	330.000000	-10236723.806249	1
230	332.000000	-10236722.806249	2
231	334.000000	-10236723.806249	1
232	336.000000	-10236722.806249	2
233	338.000000	-10236723.806249	1
234	340.000000	-10236722.806249	2
235	342.000000	-10236723.806249	1
236	344.000000	-10236721.806249	3
237	346.000000	-10236723.806249	1
238	348.000000	-10236720.806249	4
239	350.000000	-10236722.806249	2
240	352.000000	-10236723.806249	1
241	354.000000	-10236723.806249	1
242	356.000000	-10236722.806249	2
243	358.000000	-10236720.806249	4
244	360.000000	-10236723.806249	1
245	362.000000	-10236720.806249	4
246	364.000000	-10236723.806249	1
247	366.000000	-10236723.806249	1
248	368.000000	-10236723.806249	1
249	370.000000	-10236723.806249	1
250	372.000000	-10236721.806249	3
251	374.000000	-10236719.806250	5
252	376.000000	-10236723.806249	1
253	378.000000	-10236723.806249	1
254	380.000000	-10236722.806249	2
255	382.000000	-10236720.806249	4
256	384.000000	-10236723.806249	1
257	386.000000	-10236723.806249	1
258	388.000000	-10236717.806250	7
259	390.000000	-10236723.806249	1
260	392.000000	-10236723.806249	1
261	394.000000	-10236723.806249	1
262	396.000000	-10236721.806249	3
263	398.000000	-10236723.806249	1
264	400.000000	-10236722.806249	2
265	402.000000	-10236723.806249	1
266	404.000000	-10236721.806249	3
267	406.000000	-10236722.806249	2
268	408.000000	-10236723.806249	1
269	410.000000	-10236723.806249	1
270	412.000000	-10236722.806249	2
271	414.000000	-10236723.806249	1
272	416.000000	-10236722.806249	2
273	418.000000	-10236723.806249	1
274	420.000000	-10236721.806249	3
275	422.000000	-10236720.806249	4
276	424.000000	-10236723.806249	1
277	426.000000	-10236723.806249	1
278	428.000000	-10236722.806249	2
279	430.000000	-10236723.806249	1
280	432.000000	-10236722.806249	2
281	434.000000	-10236722.806249	2
282	436.000000	-10236723.806249	1
283	438.000000	-10236722.806249	2
284	440.000000	-10236719.806250	5
285	442.000000	-10236723.806249	1
286	444.000000	-10236720.806249	4
287	446.000000	-10236722.806249	2
288	448.000000	-10236723.806249	1
289	450.000000	-10236723.806249	1
290	452.000000	-10236722.806249	2
291	454.000000	-10236723.806249	1
292	456.000000	-10236722.806249	2
293	458.000000	-10236722.806249	2
294	460.000000	-10236720.806249	4
295	462.000000	-10236720.806249	4
296	464.000000	-10236723.806249	1
297	466.000000	-10236722.806249	2
298	468.000000	-10236722.806249	2
299	470.000000	-10236723.806249	1
300	472.000000	-10236723.806249	1
301	474.000000	-10236723.806249	1
302	476.000000	-10236723.806249	1
303	478.000000	-10236720.806249	4
304	480.000000	-10236720.806249	4
305	482.000000	-10236721.806249	3
306	484.000000	-10236723.806249	1
307	486.000000	-10236723.806249	1
308	488.000000	-10236720.806249	4
309	490.000000	-10236721.806249	3
310	492.000000	-10236723.806249	1
311	494.000000	-10236723.806249	1
312	496.000000	-10236723.806249	1
313	498.000000	-10236723.806249	1
314	500.000000	-10236722.806249	2
315	502.000000	-10236723.806249	1
316	504.000000	-10236717.806250	7
317	506.000000	-10236722.806249	2
318	508.000000	-10236723.806249	1
319	510.000000	-10236723.806249	1
320	512.000000	-10236721.806249	3
321	514.000000	-10236722.806249	2
322	516.000000	-10236723.806249	1
323	518.000000	-10236723.806249	1
324	520.000000	-10236722.806249	2
325	522.000000	-10236720.806249	4
326	524.000000	-10236723.806249	1
327	526.000000	-10236723.806249	1
328	528.000000	-10236722.806249	2
329	530.000000	-10236722.806249	2
330	532.000000	-10236721.806249	3
331	534.000000	-10236722.806249	2
332	536.000000	-10236723.806249	1
333	538.000000	-10236723.806249	1
