i	E(i)	g[i]	hist[i]
0	-512.000000	0.000000	51718
4	-504.000000	5.581236	48837
6	-500.000000	6.239878	51595
8	-496.000000	10.440191	54557
10	-492.000000	11.830606	55925
12	-488.000000	14.986067	53631
14	-484.000000	16.709715	53351
16	-480.000000	19.376701	53120
18	-476.000000	21.280209	49886
20	-472.000000	23.641169	50159
22	-468.000000	25.596275	47562
24	-464.000000	27.773327	49400
26	-460.000000	29.746992	47701
28	-456.000000	31.798578	49811
30	-452.000000	33.779495	50338
32	-448.000000	35.758324	51622
34	-444.000000	37.699184	50336
36	-440.000000	39.633108	51981
38	-436.000000	41.567617	56159
40	-432.000000	43.461197	57502
42	-428.000000	45.356411	55786
44	-424.000000	47.242537	56527
46	-420.000000	49.113800	53678
48	-416.000000	50.954884	55244
50	-412.000000	52.794735	56032
52	-408.000000	54.613710	56315
54	-404.000000	56.439629	53774
56	-400.000000	58.227463	52010
58	-396.000000	60.030386	53105
60	-392.000000	61.797699	51814
62	-388.000000	63.584578	53641
64	-384.000000	65.349022	52748
66	-380.000000	67.084839	53058
68	-376.000000	68.851292	54452
70	-372.000000	70.599489	52811
72	-368.000000	72.331692	52062
74	-364.000000	74.065186	52254
76	-360.000000	75.799925	51599
78	-356.000000	77.531244	52695
80	-352.000000	79.244514	51918
82	-348.000000	80.956198	52323
84	-344.000000	82.675825	52525
86	-340.000000	84.379751	51991
88	-336.000000	86.089930	48935
90	-332.000000	87.788168	48425
92	-328.000000	89.479622	47162
94	-324.000000	91.153490	45657
96	-320.000000	92.822031	45181
98	-316.000000	94.508688	46357
100	-312.000000	96.180620	47305
102	-308.000000	97.861265	48833
104	-304.000000	99.509897	45981
106	-300.000000	101.167168	46048
108	-296.000000	102.807413	43989
110	-292.000000	104.453148	43912
112	-288.000000	106.072035	44465
114	-284.000000	107.690935	44705
116	-280.000000	109.279535	44755
118	-276.000000	110.889805	43434
120	-272.000000	112.478661	44386
122	-268.000000	114.044775	43821
124	-264.000000	115.607479	42208
126	-260.000000	117.149876	42292
128	-256.000000	118.686663	42281
130	-252.000000	120.217228	42020
132	-248.000000	121.711451	41965
134	-244.000000	123.208963	42089
136	-240.000000	124.676094	42992
138	-236.000000	126.142448	42514
140	-232.000000	127.587603	43911
142	-228.000000	129.027473	43200
144	-224.000000	130.436523	43042
146	-220.000000	131.831068	44459
148	-216.000000	133.207491	44581
150	-212.000000	134.576666	45269
152	-208.000000	135.926231	45930
154	-204.000000	137.248758	45503
156	-200.000000	138.546150	44438
158	-196.000000	139.835253	43785
160	-192.000000	141.107407	43802
162	-188.000000	142.356993	45077
164	-184.000000	143.608490	45608
166	-180.000000	144.826017	45791
168	-176.000000	146.020485	45180
170	-172.000000	147.189413	44037
172	-168.000000	148.338493	43340
174	-164.000000	149.469147	44314
176	-160.000000	150.590713	44160
178	-156.000000	151.678818	43682
180	-152.000000	152.750910	44273
182	-148.000000	153.788740	44475
184	-144.000000	154.805288	43671
186	-140.000000	155.816193	43714
188	-136.000000	156.797098	43663
190	-132.000000	157.745956	43118
192	-128.000000	158.683275	43249
194	-124.000000	159.585157	43319
196	-120.000000	160.466074	42211
198	-116.000000	161.325781	43595
200	-112.000000	162.155144	44336
202	-108.000000	162.963606	44607
204	-104.000000	163.744019	44870
206	-100.000000	164.501284	44411
208	-96.000000	165.236458	44494
210	-92.000000	165.941425	44140
212	-88.000000	166.612904	43418
214	-84.000000	167.252672	43295
216	-80.000000	167.872972	44079
218	-76.000000	168.466654	44549
220	-72.000000	169.038029	44632
222	-68.000000	169.574326	44080
224	-64.000000	170.078638	45647
226	-60.000000	170.561689	45977
228	-56.000000	170.997023	46375
230	-52.000000	171.417648	46862
232	-48.000000	171.810427	47121
234	-44.000000	172.166128	47061
236	-40.000000	172.494503	47464
238	-36.000000	172.788742	47138
240	-32.000000	173.059195	46361
242	-28.000000	173.287962	46923
244	-24.000000	173.498928	46436
246	-20.000000	173.674353	45999
248	-16.000000	173.815701	46000
250	-12.000000	173.927256	46333
252	-8.000000	173.996971	45932
254	-4.000000	174.045519	45777
256	0.000000	174.062784	46171
258	4.000000	174.051100	45365
260	8.000000	174.005737	44890
262	12.000000	173.922617	44625
264	16.000000	173.809851	44801
266	20.000000	173.659876	44671
268	24.000000	173.490322	44480
270	28.000000	173.291763	44314
272	32.000000	173.056726	44583
274	36.000000	172.793125	44188
276	40.000000	172.501987	43740
278	44.000000	172.173372	43579
280	48.000000	171.816532	43622
282	52.000000	171.424829	44243
284	56.000000	171.006268	44508
286	60.000000	170.561440	43988
288	64.000000	170.086330	43982
290	68.000000	169.579069	44009
292	72.000000	169.038458	44681
294	76.000000	168.477657	44850
296	80.000000	167.876942	45012
298	84.000000	167.261469	45109
300	88.000000	166.611946	45610
302	92.000000	165.932159	46590
304	96.000000	165.233438	47475
306	100.000000	164.501528	47155
308	104.000000	163.740614	47543
310	108.000000	162.962656	46491
312	112.000000	162.158226	46382
314	116.000000	161.327797	45186
316	120.000000	160.467531	45595
318	124.000000	159.581673	46706
320	128.000000	158.662350	47510
322	132.000000	157.720629	48393
324	136.000000	156.757704	48621
326	140.000000	155.778681	47479
328	144.000000	154.767628	46490
330	148.000000	153.748154	47380
332	152.000000	152.696321	48361
334	156.000000	151.616161	48652
336	160.000000	150.525528	47810
338	164.000000	149.410131	47957
340	168.000000	148.282377	47087
342	172.000000	147.130213	47487
344	176.000000	145.948433	49034
346	180.000000	144.762756	48110
348	184.000000	143.540659	48419
350	188.000000	142.301275	47633
352	192.000000	141.036419	47326
354	196.000000	139.764236	47102
356	200.000000	138.466566	46021
358	204.000000	137.158613	46995
360	208.000000	135.834774	47412
362	212.000000	134.491320	47171
364	216.000000	133.126429	48583
366	220.000000	131.748493	46690
368	224.000000	130.353886	47064
370	228.000000	128.939989	47301
372	232.000000	127.509434	47702
374	236.000000	126.063036	46093
376	240.000000	124.605061	45496
378	244.000000	123.138973	45218
380	248.000000	121.634209	46234
382	252.000000	120.142536	46712
384	256.000000	118.627153	46727
386	260.000000	117.100985	48755
388	264.000000	115.565907	47146
390	268.000000	114.007948	46295
392	272.000000	112.425327	46826
394	276.000000	110.846809	47114
396	280.000000	109.249235	46719
398	284.000000	107.659676	47634
400	288.000000	106.054461	47265
402	292.000000	104.432764	48391
404	296.000000	102.810486	47058
406	300.000000	101.155123	48699
408	304.000000	99.508890	47299
410	308.000000	97.848450	47728
412	312.000000	96.175690	48454
414	316.000000	94.502451	48985
416	320.000000	92.814835	51694
418	324.000000	91.138966	52148
420	328.000000	89.447159	53270
422	332.000000	87.763779	55190
424	336.000000	86.069469	55478
426	340.000000	84.380428	54902
428	344.000000	82.655392	54834
430	348.000000	80.950071	58005
432	352.000000	79.235630	58622
434	356.000000	77.519728	60481
436	360.000000	75.792341	60633
438	364.000000	74.057146	60691
440	368.000000	72.310066	62388
442	372.000000	70.552244	62545
444	376.000000	68.789944	64804
446	380.000000	67.018869	63091
448	384.000000	65.278589	61773
450	388.000000	63.499559	64333
452	392.000000	61.717407	65404
454	396.000000	59.938042	65572
456	400.000000	58.143290	67367
458	404.000000	56.315750	69278
460	408.000000	54.508774	66104
462	412.000000	52.689051	65015
464	416.000000	50.846558	66334
466	420.000000	49.002850	63382
468	424.000000	47.130911	66297
470	428.000000	45.263510	65465
472	432.000000	43.379677	62824
474	436.000000	41.465105	63217
476	440.000000	39.547874	62788
478	444.000000	37.597641	61656
480	448.000000	35.644413	61482
482	452.000000	33.653019	64186
484	456.000000	31.670319	63476
486	460.000000	29.585384	66644
488	464.000000	27.601364	68638
490	468.000000	25.485432	66832
492	472.000000	23.488396	71674
494	476.000000	21.166801	67720
496	480.000000	19.259321	68909
498	484.000000	16.629709	71561
500	488.000000	14.906832	72025
502	492.000000	11.704315	69278
504	496.000000	10.333492	68410
506	500.000000	6.131315	69249
508	504.000000	5.427654	73556
512	512.000000	-0.057289	66014
