T	Ut	Ft	St	Ct
1.5000	-2.0000	-2.0000	0.0000	0.0000
1.5100	-2.0000	-2.0000	0.0000	0.0000
1.5200	-2.0000	-2.0000	0.0000	0.0000
1.5300	-2.0000	-2.0000	0.0000	0.0000
1.5400	-2.0000	-2.0000	0.0000	0.0000
1.5500	-2.0000	-2.0000	0.0000	0.0000
1.5600	-2.0000	-2.0000	0.0000	0.0000
1.5700	-2.0000	-2.0000	0.0000	0.0000
1.5800	-2.0000	-2.0000	-0.0000	0.0000
1.5900	-2.0000	-2.0000	0.0000	0.0000
1.6000	-2.0000	-2.0000	0.0000	0.0000
1.6100	-2.0000	-2.0000	0.0000	0.0000
1.6200	-2.0000	-2.0000	0.0000	0.0000
1.6300	-2.0000	-2.0000	0.0000	0.0000
1.6400	-2.0000	-2.0000	0.0000	0.0000
1.6500	-2.0000	-2.0000	-0.0000	0.0000
1.6600	-2.0000	-2.0000	0.0000	0.0000
1.6700	-2.0000	-2.0000	0.0000	0.0000
1.6800	-2.0000	-2.0000	0.0000	0.0000
1.6900	-2.0000	-2.0000	0.0000	0.0000
1.7000	-2.0000	-2.0000	0.0000	0.0000
1.7100	-2.0000	-2.0000	0.0000	0.0000
1.7200	-2.0000	-2.0000	0.0000	0.0000
1.7300	-2.0000	-2.0000	0.0000	0.0000
1.7400	-2.0000	-2.0000	0.0000	0.0000
1.7500	-2.0000	-2.0000	0.0000	0.0000
1.7600	-2.0000	-2.0000	0.0000	0.0000
1.7700	-2.0000	-2.0000	0.0000	0.0000
1.7800	-2.0000	-2.0000	0.0000	0.0000
1.7900	-2.0000	-2.0000	0.0000	0.0000
1.8000	-2.0000	-2.0000	0.0000	0.0000
1.8100	-2.0000	-2.0000	0.0000	0.0000
1.8200	-2.0000	-2.0000	0.0000	0.0000
1.8300	-2.0000	-2.0000	0.0000	0.0000
1.8400	-2.0000	-2.0000	-0.0000	0.0000
1.8500	-2.0000	-2.0000	0.0000	0.0000
1.8600	-2.0000	-2.0000	-0.0000	0.0000
1.8700	-2.0000	-2.0000	0.0000	0.0000
1.8800	-2.0000	-2.0000	0.0000	0.0000
1.8900	-2.0000	-2.0000	-0.0000	0.0000
1.9000	-2.0000	-2.0000	-0.0000	0.0000
1.9100	-2.0000	-2.0000	0.0000	0.0000
1.9200	-2.0000	-2.0000	0.0000	0.0000
1.9300	-2.0000	-2.0000	-0.0000	0.0000
1.9400	-2.0000	-2.0000	0.0000	0.0000
1.9500	-2.0000	-2.0000	-0.0000	0.0000
1.9600	-2.0000	-2.0000	0.0000	0.0000
1.9700	-2.0000	-2.0000	-0.0000	0.0000
1.9800	-2.0000	-2.0000	0.0000	0.0000
1.9900	-2.0000	-2.0000	-0.0000	0.0000
2.0000	-2.0000	-2.0000	0.0000	0.0000
2.0100	-2.0000	-2.0000	0.0000	0.0000
2.0200	-2.0000	-2.0000	0.0000	0.0000
2.0300	-2.0000	-2.0000	0.0000	0.0000
2.0400	-2.0000	-2.0000	0.0000	0.0000
2.0500	-2.0000	-2.0000	0.0000	0.0000
2.0600	-2.0000	-2.0000	0.0000	0.0000
2.0700	-2.0000	-2.0000	0.0000	0.0000
2.0800	-2.0000	-2.0000	0.0000	0.0000
2.0900	-2.0000	-2.0000	0.0000	0.0000
2.1000	-2.0000	-2.0000	0.0000	0.0000
2.1100	-2.0000	-2.0000	0.0000	0.0000
2.1200	-2.0000	-2.0000	0.0000	0.0000
2.1300	-2.0000	-2.0000	0.0000	0.0000
2.1400	-2.0000	-2.0000	0.0000	0.0000
2.1500	-2.0000	-2.0000	0.0000	0.0000
2.1600	-2.0000	-2.0000	0.0000	0.0000
2.1700	-2.0000	-2.0000	0.0000	0.0000
2.1800	-2.0000	-2.0000	0.0000	0.0000
2.1900	-2.0000	-2.0000	0.0000	0.0000
2.2000	-2.0000	-2.0000	-0.0000	0.0000
2.2100	-2.0000	-2.0000	0.0000	0.0000
2.2200	-2.0000	-2.0000	0.0000	0.0000
2.2300	-2.0000	-2.0000	0.0000	0.0000
2.2400	-2.0000	-2.0000	0.0000	0.0000
2.2500	-2.0000	-2.0000	0.0000	0.0000
2.2600	-2.0000	-2.0000	0.0000	0.0000
2.2700	-2.0000	-2.0000	0.0000	0.0000
2.2800	-2.0000	-2.0000	0.0000	0.0000
2.2900	-2.0000	-2.0000	0.0000	0.0000
2.3000	-2.0000	-2.0000	-0.0000	0.0000
2.3100	-2.0000	-2.0000	0.0000	0.0000
2.3200	-2.0000	-2.0000	0.0000	0.0000
2.3300	-2.0000	-2.0000	0.0000	0.0000
2.3400	-2.0000	-2.0000	0.0000	0.0000
2.3500	-2.0000	-2.0000	0.0000	0.0000
2.3600	-2.0000	-2.0000	0.0000	0.0000
2.3700	-2.0000	-2.0000	0.0000	0.0000
2.3800	-2.0000	-2.0000	0.0000	0.0000
2.3900	-2.0000	-2.0000	0.0000	0.0000
2.4000	-2.0000	-2.0000	0.0000	0.0000
2.4100	-2.0000	-2.0000	0.0000	0.0000
2.4200	-2.0000	-2.0000	0.0000	0.0000
2.4300	-2.0000	-2.0000	0.0000	0.0000
2.4400	-2.0000	-2.0000	0.0000	0.0000
2.4500	-2.0000	-2.0000	0.0000	0.0000
2.4600	-2.0000	-2.0000	0.0000	0.0000
2.4700	-2.0000	-2.0000	-0.0000	0.0000
2.4800	-2.0000	-2.0000	0.0000	0.0000
2.4900	-2.0000	-2.0000	0.0000	0.0000
2.5000	-2.0000	-2.0000	0.0000	0.0000
2.5100	-2.0000	-2.0000	0.0000	0.0000
2.5200	-2.0000	-2.0000	0.0000	0.0000
2.5300	-2.0000	-2.0000	0.0000	0.0000
2.5400	-2.0000	-2.0000	-0.0000	0.0000
2.5500	-2.0000	-2.0000	0.0000	0.0000
2.5600	-2.0000	-2.0000	0.0000	0.0000
2.5700	-2.0000	-2.0000	0.0000	0.0000
2.5800	-2.0000	-2.0000	0.0000	0.0000
2.5900	-2.0000	-2.0000	-0.0000	0.0000
2.6000	-2.0000	-2.0000	0.0000	0.0000
2.6100	-2.0000	-2.0000	0.0000	0.0000
2.6200	-2.0000	-2.0000	0.0000	0.0000
2.6300	-2.0000	-2.0000	0.0000	0.0000
