T	Ut	Ft	St	Ct
0.0100	-nan	-inf	-nan	-nan
0.0200	-2.0000	-2.0000	0.0000	0.0000
0.0300	-2.0000	-2.0000	0.0000	0.0000
0.0400	-2.0000	-2.0000	0.0000	0.0000
0.0500	-2.0000	-2.0000	0.0000	0.0000
0.0600	-2.0000	-2.0000	0.0000	0.0000
0.0700	-2.0000	-2.0000	0.0000	0.0000
0.0800	-2.0000	-2.0000	0.0000	0.0000
0.0900	-2.0000	-2.0000	-0.0000	0.0000
0.1000	-2.0000	-2.0000	0.0000	0.0000
0.1100	-2.0000	-2.0000	0.0000	0.0000
0.1200	-2.0000	-2.0000	0.0000	0.0000
0.1300	-2.0000	-2.0000	0.0000	0.0000
0.1400	-2.0000	-2.0000	0.0000	0.0000
0.1500	-2.0000	-2.0000	0.0000	0.0000
0.1600	-2.0000	-2.0000	0.0000	0.0000
0.1700	-2.0000	-2.0000	0.0000	0.0000
0.1800	-2.0000	-2.0000	-0.0000	-0.0000
0.1900	-2.0000	-2.0000	0.0000	0.0000
0.2000	-2.0000	-2.0000	0.0000	0.0000
0.2100	-2.0000	-2.0000	0.0000	-0.0000
0.2200	-2.0000	-2.0000	0.0000	0.0000
0.2300	-2.0000	-2.0000	0.0000	0.0000
0.2400	-2.0000	-2.0000	0.0000	0.0000
0.2500	-2.0000	-2.0000	0.0000	0.0000
0.2600	-2.0000	-2.0000	0.0000	0.0000
0.2700	-2.0000	-2.0000	0.0000	0.0000
0.2800	-2.0000	-2.0000	0.0000	0.0000
0.2900	-2.0000	-2.0000	0.0000	0.0000
0.3000	-2.0000	-2.0000	0.0000	0.0000
0.3100	-2.0000	-2.0000	0.0000	0.0000
0.3200	-2.0000	-2.0000	0.0000	0.0000
0.3300	-2.0000	-2.0000	0.0000	0.0000
0.3400	-2.0000	-2.0000	0.0000	0.0000
0.3500	-2.0000	-2.0000	0.0000	0.0000
0.3600	-2.0000	-2.0000	0.0000	0.0000
0.3700	-2.0000	-2.0000	0.0000	0.0000
0.3800	-2.0000	-2.0000	0.0000	0.0000
0.3900	-2.0000	-2.0000	0.0000	0.0000
0.4000	-2.0000	-2.0000	0.0000	0.0000
0.4100	-2.0000	-2.0000	0.0000	0.0000
0.4200	-2.0000	-2.0000	0.0000	0.0000
0.4300	-2.0000	-2.0000	0.0000	0.0000
0.4400	-2.0000	-2.0000	0.0000	0.0000
0.4500	-2.0000	-2.0000	0.0000	0.0000
0.4600	-2.0000	-2.0000	0.0000	0.0000
0.4700	-2.0000	-2.0000	0.0000	0.0000
0.4800	-2.0000	-2.0000	0.0000	0.0000
0.4900	-2.0000	-2.0000	0.0000	0.0000
0.5000	-2.0000	-2.0000	0.0000	0.0000
0.5100	-2.0000	-2.0000	0.0000	0.0000
0.5200	-2.0000	-2.0000	0.0000	0.0000
0.5300	-2.0000	-2.0000	0.0000	0.0001
0.5400	-2.0000	-2.0000	0.0000	0.0001
0.5500	-2.0000	-2.0000	0.0000	0.0001
0.5600	-2.0000	-2.0000	0.0000	0.0001
0.5700	-2.0000	-2.0000	0.0000	0.0001
0.5800	-2.0000	-2.0000	0.0000	0.0002
0.5900	-2.0000	-2.0000	0.0000	0.0002
0.6000	-2.0000	-2.0000	0.0000	0.0003
0.6100	-2.0000	-2.0000	0.0000	0.0003
0.6200	-2.0000	-2.0000	0.0000	0.0004
0.6300	-2.0000	-2.0000	0.0000	0.0005
0.6400	-2.0000	-2.0000	0.0000	0.0006
0.6500	-2.0000	-2.0000	0.0001	0.0007
0.6600	-2.0000	-2.0000	0.0001	0.0008
0.6700	-2.0000	-2.0000	0.0001	0.0009
0.6800	-1.9999	-2.0000	0.0001	0.0010
0.6900	-1.9999	-2.0000	0.0001	0.0012
0.7000	-1.9999	-2.0000	0.0001	0.0014
0.7100	-1.9999	-2.0000	0.0001	0.0016
0.7200	-1.9999	-2.0000	0.0002	0.0018
0.7300	-1.9999	-2.0000	0.0002	0.0020
0.7400	-1.9998	-2.0000	0.0002	0.0023
0.7500	-1.9998	-2.0000	0.0003	0.0026
0.7600	-1.9998	-2.0000	0.0003	0.0029
0.7700	-1.9998	-2.0000	0.0003	0.0032
0.7800	-1.9997	-2.0000	0.0004	0.0036
0.7900	-1.9997	-2.0000	0.0004	0.0040
0.8000	-1.9997	-2.0000	0.0005	0.0044
0.8100	-1.9996	-2.0000	0.0005	0.0049
0.8200	-1.9996	-2.0000	0.0006	0.0054
0.8300	-1.9995	-2.0001	0.0007	0.0059
0.8400	-1.9994	-2.0001	0.0007	0.0065
0.8500	-1.9994	-2.0001	0.0008	0.0071
0.8600	-1.9993	-2.0001	0.0009	0.0078
0.8700	-1.9992	-2.0001	0.0010	0.0085
0.8800	-1.9991	-2.0001	0.0011	0.0092
0.8900	-1.9990	-2.0001	0.0012	0.0100
0.9000	-1.9989	-2.0001	0.0013	0.0109
0.9100	-1.9988	-2.0001	0.0015	0.0118
0.9200	-1.9987	-2.0001	0.0016	0.0128
0.9300	-1.9986	-2.0002	0.0017	0.0138
0.9400	-1.9984	-2.0002	0.0019	0.0149
0.9500	-1.9983	-2.0002	0.0020	0.0160
0.9600	-1.9981	-2.0002	0.0022	0.0172
0.9700	-1.9979	-2.0002	0.0024	0.0185
0.9800	-1.9977	-2.0003	0.0026	0.0198
0.9900	-1.9975	-2.0003	0.0028	0.0212
1.0000	-1.9973	-2.0003	0.0030	0.0227
1.0100	-1.9971	-2.0004	0.0033	0.0243
1.0200	-1.9968	-2.0004	0.0035	0.0259
1.0300	-1.9965	-2.0004	0.0038	0.0276
1.0400	-1.9963	-2.0005	0.0040	0.0294
1.0500	-1.9960	-2.0005	0.0043	0.0312
1.0600	-1.9956	-2.0006	0.0046	0.0331
1.0700	-1.9953	-2.0006	0.0050	0.0351
1.0800	-1.9949	-2.0007	0.0053	0.0372
1.0900	-1.9945	-2.0007	0.0057	0.0393
1.1000	-1.9941	-2.0008	0.0060	0.0415
1.1100	-1.9937	-2.0008	0.0064	0.0437
1.1200	-1.9933	-2.0009	0.0068	0.0460
1.1300	-1.9928	-2.0010	0.0072	0.0483
1.1400	-1.9923	-2.0010	0.0077	0.0507
1.1500	-1.9918	-2.0011	0.0081	0.0531
1.1600	-1.9912	-2.0012	0.0086	0.0556
1.1700	-1.9907	-2.0013	0.0091	0.0581
1.1800	-1.9901	-2.0014	0.0096	0.0607
1.1900	-1.9895	-2.0015	0.0101	0.0634
1.2000	-1.9888	-2.0016	0.0106	0.0661
1.2100	-1.9881	-2.0017	0.0112	0.0689
1.2200	-1.9874	-2.0018	0.0118	0.0718
1.2300	-1.9867	-2.0019	0.0124	0.0747
1.2400	-1.9859	-2.0021	0.0130	0.0778
1.2500	-1.9851	-2.0022	0.0136	0.0810
1.2600	-1.9843	-2.0023	0.0143	0.0843
1.2700	-1.9835	-2.0025	0.0150	0.0877
1.2800	-1.9826	-2.0026	0.0157	0.0912
1.2900	-1.9816	-2.0028	0.0164	0.0949
1.3000	-1.9807	-2.0030	0.0172	0.0987
1.3100	-1.9797	-2.0031	0.0179	0.1027
1.3200	-1.9786	-2.0033	0.0187	0.1067
1.3300	-1.9775	-2.0035	0.0195	0.1109
1.3400	-1.9764	-2.0037	0.0204	0.1152
1.3500	-1.9752	-2.0039	0.0213	0.1196
1.3600	-1.9740	-2.0041	0.0222	0.1241
1.3700	-1.9727	-2.0044	0.0231	0.1288
1.3800	-1.9714	-2.0046	0.0240	0.1335
1.3900	-1.9701	-2.0048	0.0250	0.1384
1.4000	-1.9687	-2.0051	0.0260	0.1435
1.4100	-1.9672	-2.0054	0.0271	0.1486
1.4200	-1.9657	-2.0056	0.0281	0.1540
1.4300	-1.9641	-2.0059	0.0292	0.1594
1.4400	-1.9625	-2.0062	0.0304	0.1650
1.4500	-1.9608	-2.0065	0.0315	0.1706
1.4600	-1.9591	-2.0069	0.0327	0.1764
1.4700	-1.9573	-2.0072	0.0339	0.1822
1.4800	-1.9554	-2.0075	0.0352	0.1881
1.4900	-1.9535	-2.0079	0.0365	0.1940
1.5000	-1.9516	-2.0083	0.0378	0.1999
1.5100	-1.9495	-2.0086	0.0392	0.2058
1.5200	-1.9474	-2.0090	0.0405	0.2116
1.5300	-1.9453	-2.0095	0.0419	0.2175
1.5400	-1.9431	-2.0099	0.0434	0.2233
1.5500	-1.9408	-2.0103	0.0448	0.2292
1.5600	-1.9385	-2.0108	0.0463	0.2351
1.5700	-1.9361	-2.0113	0.0479	0.2412
1.5800	-1.9337	-2.0117	0.0494	0.2474
1.5900	-1.9312	-2.0122	0.0510	0.2537
1.6000	-1.9286	-2.0128	0.0526	0.2603
